NUMERO;LAM_NUMERO;TSA_NIMI;NIMI_FI;lat;lon;
23562;562;L_vt6_Mälkiä;Tie 6 Mälkiä;61.0717069643;28.3102150856;
23534;534;L_vt6_Muukko;Tie 6 Muukko;61.1014513631;28.4052953865;
23563;563;L_vt6_Joutseno;Tie 6 Joutseno;61.1204800059;28.4955565527;
23564;564;L_vt6_Vesivalo;Tie 6 Vesivalo;61.1658607551;28.6794029397;
23531;531;L_vt6_Vuoksenniska;Tie 6 Vuoksenniska;61.2368293114;28.8712658174;
23524;524;L_vt6_Rautjärvi;Tie 6 Rautjärvi;61.4025502901;29.3079019457;
23533;533;L_vt13_Karhusjärvi;Tie 13 Karhusjärvi;61.0368041761;28.3655918853;
23547;547;L_vt13_Nuijamaa_MP5;Tie 13 Nuijamaa;60.9772938294;28.4922802608;
23582;582;L_vt13_Nuijamaa;Tie 13 Nuijamaa;60.9539881509;28.5357651575;
23597;597;L_vt13_Nuijamaa_rask;Tie 13 Nuijamaa, raskaat;60.9539881509;28.5357651575;
23306;306;L_vt13_Nuijamaa_Uusi;Tie 13 Nuijamaa;60.9772938294;28.4922802608;
23528;528;L_kt62_Ruokolahti;Tie 62 Ruokolahti;61.3756082928;28.6536242273;
23535;535;L_kt62_Imatra_raja1;Tie 62 Imatra raja 1;61.1351921669;28.8191866584;
23532;532;L_kt62_Imatra_raja2;Tie 62 Imatra raja 2;61.1277663724;28.835081528;
23593;593;L_st387_Ylämaa;Tie 387 Ylämaa;60.7656989268;27.9925052765;
23630;630;L_vt5_Kuortti;Tie 5 Pertunmaa, Kuortti;61.4038429514;26.3816537781;
23602;602;L_vt5_Toivola;Tie 5 Mäntyharju;61.4715499425;26.7361778946;
23627;627;L_vt5_Nuutilanmäki;Tie 5 Juva, Nuutilanmäki;61.7961952413;27.5991507662;
23603;603;L_vt5_Joroinen;Tie 5 Joroinen;62.1381151405;27.8380678085;
23631;631;L_vt5_Kuvansi_uusi;Tie 5 Kuvansi;62.2765321989;27.8654005874;
23622;622;L_vt13_Kangasniemi;Tie 13 Kangasniemi;62.0952694175;26.4999931882;
23604;604;L_vt13_Ristiina;Tie 13 Ristiina;61.5563756972;27.2546240112;
23526;526;L_vt13_Suomenniemi;Tie 13 Suomenniemi;61.3188513996;27.3847774842;
23605;605;L_vt14_Juva1;Tie 14 Juva;61.8983560675;27.8214924477;
23632;632;L_vt14_Hevonpäänniemi;Tie 14 Savonlinna, Hevonpäänniemi;61.8536699725;28.8486503497;
23606;606;L_vt14_Savonlinna;Tie 14 Savonlinna;61.8729352631;28.9497751585;
23629;629;L_vt23_Siikamäki;Tie 23 Pieksämäki, Siikamä;62.2902075121;27.3988576182;
23607;607;L_kt72_Virtasalmi;Tie 72 Virtasalmi;62.1248826793;27.2476099819;
23801;801;L_vt5_Leppävirta;Tie 5 Leppävirta;62.5195382117;27.6823676589;
23825;825;L_vt5_Hiltulanlahti;Tie 5 Hiltulanlahti;62.8099142384;27.5975353416;
23832;832;L_vt5_Levänen;Tie 5 Levänen;62.869821494;27.6197251107;
23828;828;L_vt5_Rahusenlampi;Tie 5 Rahusenlampi;62.9188035446;27.677974186;
23834;834;L_vt5_Tikkalansaari;;62.9529963123;27.6808351644;
23835;835;L_vt5_Sorsasalo_Vuorela;;62.9640107798;27.6971424711;
23836;836;L_vt5_Vuorela;;62.9820157116;27.706253156;
23803;803;L_vt5_Siilinjärvi;Tie 5 Siilinjärvi;63.1039779085;27.647689969;
23826;826;L_vt5_Iisalmi;Tie 5 Iisalmi;63.5639368393;27.2490694938;
23821;821;L_vt9_Suonenjoki;Tie 9 Suonenjoki;62.6769097451;27.4160411877;
23827;827;L_vt9_Jännevirta;Tie 17 Jännevirta;62.9497608404;27.8827041295;
23804;804;L_vt9_Tuusniemi;Tie 9 Tuusniemi;62.8701194071;28.3324676233;
23807;807;L_vt27_Kiuruvesi;Tie 27 Kiuruvesi;63.67350951;26.4368411016;
23833;833;L_kt75_Pajukoski;Tie 75 Pajukoski;63.1348283619;27.8254827373;
23824;824;L_kt75_Nilsiä;Tie 75 Nilsiä;63.1553878958;28.0659288055;
23805;805;L_kt75_Rautavaara;Tie 75 Rautavaara;63.3690966853;28.5711213602;
23806;806;L_kt77_Pielavesi;Tie 77 Pielavesi;63.1945080591;26.7143999776;
23822;822;L_kt88_Vieremä;Tie 88 Vieremä;63.7508821669;26.9749529682;
23732;732;L_vt6_Kousa;Tie 6 Kesälahti, Kousa;61.9739994069;29.8738223097;
23731;731;L_vt6_Reijola;Tie 6 Reijola;62.5308410829;29.8625453894;
23733;733;L_vt6_Joensuu2;Tie 6 Joensuu;62.6141759963;29.7811507866;
23727;727;L_vt6_Kontiolahti2;Tie 6 Kontiolahti;62.65996161;29.7867736777;
23725;725;L_vt6_Juuka2;Tie 6 Juuka 2;63.2868295707;29.2214488233;
23701;701;L_vt9_Viinijärvi;Tie 9 Viinijärvi;62.6838756161;29.1047475329;
23726;726;L_vt9_Ylämylly;Tie 9 Liperi, Ylämylly;62.6254561885;29.5828626441;
23730;730;L_vt9_Noljakka;Tie 9 Noljakka;62.6246283766;29.7121444857;
23729;729;L_vt9_Kaurila;Tie 70 Tohmajärvi, Kaurila;62.1763990239;30.5342617415;
23724;724;L_vt9_Niirala;Tie 9 Niirala;62.1662545019;30.631761894;
23723;723;L_vt23_Liperi;Tie 23 Liperi;62.6064488778;29.256282622;
